r_rs,R_GR,R_Higgs
0.4,,-6.186636935205125
0.40320641282565134,,-5.839430891315988
0.4064128256513026,,-5.505834842270013
0.4096192384769539,,-5.185231911401785
0.41282565130260523,,-4.877011604570643
0.41603206412825655,,-4.580628053348111
0.4192384769539078,,-4.295533886857135
0.42244488977955913,,-4.021233979582743
0.42565130260521045,,-3.7572237130302586
0.42885771543086176,,-3.503033792407621
0.432064128256513,,-3.258221754604729
0.43527054108216434,,-3.022367892056678
0.43847695390781566,,-2.795040074132824
0.441683366733467,,-2.5758695694735856
0.44488977955911824,,-2.3644669807807492
0.44809619238476955,,-2.160471388563668
0.45130260521042087,,-1.9635373063456494
0.4545090180360722,,-1.7733260629149543
0.45771543086172345,,-1.5895149329357554
0.46092184368737477,,-1.411792931520625
0.4641282565130261,,-1.2398654788226482
0.4673346693386774,,-1.0734368461525987
0.47054108216432866,,-0.9122147963988816
0.47374749498998,,-0.7559462984057915
0.4769539078156313,,-0.6043510912210314
0.48016032064128256,,-0.4571662604499166
0.4833667334669339,,-0.31415527592560755
0.4865731462925852,,-0.17506817278877235
0.4897795591182365,,-0.039646130731185836
0.4929859719438878,,0.09232066434693992
0.4961923847695391,,0.22107727530764157
0.4993987975951904,,0.34685949082594986
0.5026052104208417,,0.46989149965327076
0.505811623246493,,0.5903880128704591
0.5090180360721444,,0.7085674946813771
0.5122244488977956,,0.8246631820799157
0.5154308617234469,,0.9388941417183306
0.5186372745490982,,1.0514763027715532
0.5218436873747495,,1.1626246142353254
0.5250501002004009,,1.2725663112400536
0.5282565130260521,,1.3815231020153353
0.5314629258517034,,1.4897311082584257
0.5346693386773547,,1.597403080855213
0.537875751503006,,1.7047749991230359
0.5410821643286573,,1.8120838416513936
0.5442885771543087,,1.9195720101667555
0.5474949899799599,,2.02747621545795
0.5507014028056112,,2.1360629997069096
0.5539078156312626,,2.2455821087932506
0.5571142284569138,,2.3562931454956777
0.5603206412825652,,2.46848778820262
0.5635270541082165,,2.5824320807675116
0.5667334669338677,,2.6984308530188024
0.5699398797595191,,2.8167744648592348
0.5731462925851704,,2.9377943588793585
0.5763527054108217,,3.0618120385553578
0.579559118236473,,3.1891613289403926
0.5827655310621243,,3.320206202694181
0.5859719438877755,,3.4553230877828227
0.5891783567134269,,3.5948876225163593
0.5923847695390781,,3.739312489490895
0.5955911823647295,,3.8890164233577416
0.5987975951903808,,4.044450958044197
0.602004008016032,,4.20608055397954
0.6052104208416834,,4.374391598091993
0.6084168336673347,,4.549885870757322
0.611623246492986,,4.733113988847101
0.6148296593186373,,4.92463558316917
0.6180360721442886,,5.125046098751438
0.6212424849699398,,5.334961415303706
0.6244488977955912,,5.555033563720531
0.6276553106212425,,5.785953128854107
0.6308617234468938,,6.028440560404008
0.6340681362725451,,6.283253034662012
0.6372745490981964,,6.551178004412439
0.6404809619238477,,6.83305784316196
0.643687374749499,,7.129770090032984
0.6468937875751504,,7.442221024854801
0.6501002004008016,,7.771390322841886
0.6533066132264529,,8.118275795672112
0.6565130260521042,,8.48393805987836
0.6597194388777555,,8.869485258883884
0.6629258517034069,,9.276079994322266
0.6661322645290582,,9.704928497210261
0.6693386773547094,,10.157294226058944
0.6725450901803607,,10.634498141806631
0.675751503006012,,11.137905658670604
0.6789579158316634,,11.668953557406669
0.6821643286573147,,12.229128041407641
0.685370741482966,,12.819958324857568
0.6885771543086172,,13.443041291177108
0.6917835671342686,,14.100015061943036
0.6949899799599198,,14.792585830902107
0.6981963927855712,,15.52248805358767
0.7014028056112225,,16.29150455035378
0.7046092184368737,,17.101457698155198
0.707815631262525,,17.954196126130295
0.7110220440881764,,18.851592448449125
0.7142284569138277,,19.79554536217545
0.717434869739479,,20.787937246877153
0.7206412825651303,,21.830651613333398
0.7238476953907815,,22.925546024355317
0.7270541082164329,,24.074424878948896
0.7302605210420842,,25.279023142074063
0.7334669338677355,,26.541007660521792
0.7366733466933868,,27.86190500149257
0.7398797595190381,,29.243086794812292
0.7430861723446893,,30.685752597523564
0.7462925851703407,,32.190863619757025
0.7494989979959921,,33.75910721441077
0.7527054108216433,,35.390841022864095
0.7559118236472946,,37.0860189578989
0.7591182364729459,,38.84415893384495
0.7623246492985972,,40.66423905517301
0.7655310621242486,,42.54462213824732
0.7687374749498999,,44.482977429459595
0.7719438877755511,,46.47618392714548
0.7751503006012024,,48.520195271453794
0.7783567134268538,,50.609954969681134
0.781563126252505,,52.73924866417886
0.7847695390781564,,54.900602198947816
0.7879759519038076,,57.085085553872055
0.7911823647294589,,59.282226893485216
0.7943887775551102,,61.47980355769969
0.7975951903807615,,63.6637120428195
0.8008016032064129,,65.81780151432183
0.8040080160320642,,67.92370862378496
0.8072144288577154,,69.96069368233361
0.8104208416833667,,71.9054982582418
0.8136272545090181,,73.7322354232379
0.8168336673346693,,75.41225397425445
0.8200400801603207,,76.91405456819214
0.823246492985972,,78.20329025024868
0.8264529058116232,,79.24273182719202
0.8296593186372745,,79.99239280896794
0.8328657314629259,,80.40965234944696
0.8360721442885772,,80.44951114236095
0.8392785571142285,,80.06496100930099
0.8424849699398798,,79.20747899986745
0.845691382765531,,77.82765470920981
0.8488977955911824,,75.87598626833109
0.8521042084168338,,73.30386834156455
0.855310621242485,,70.06476556745014
0.8585170340681363,,66.1156071158758
0.8617234468937875,,61.418337017545085
0.8649298597194389,,55.94176027240653
0.8681362725450902,,49.663472701982116
0.8713426853707416,,42.572053121225096
0.8745490981963928,,34.6693197618492
0.8777555110220441,,25.97265454106474
0.8809619238476953,,16.517344960358994
