freq_GR,amp_GR,freq_Higgs,amp_Higgs
0.0,0.0006924719205366063,0.0,0.0010631096251112364
0.006664444444444444,0.0009884514668831279,0.006664444444444444,0.0011745786028343663
0.013328888888888888,0.0015885259853490223,0.013328888888888888,0.001467495665256244
0.01999333333333333,0.0023002815475145068,0.01999333333333333,0.001879818086913677
0.026657777777777777,0.00309994355703851,0.026657777777777777,0.0023821401943237004
0.03332222222222222,0.004005219483335349,0.03332222222222222,0.0029726819984703177
0.03998666666666666,0.0050533840601384794,0.03998666666666666,0.0036674917966696588
0.04665111111111111,0.006303011798110339,0.04665111111111111,0.004498241160331582
0.053315555555555554,0.00784578554290812,0.053315555555555554,0.005516148397832042
0.05998,0.009832164867696199,0.05998,0.00680225578724468
0.06664444444444444,0.012527154566060524,0.06664444444444444,0.008487345153539412
0.07330888888888888,0.01644381392880042,0.07330888888888888,0.010787659468304367
0.07997333333333333,0.022712067287032886,0.07997333333333333,0.014056896641828161
0.08663777777777777,0.034310604829899415,0.08663777777777777,0.018770075662731363
0.09330222222222222,0.06087448094093455,0.09330222222222222,0.024817570061294893
0.09996666666666666,0.10536236220839934,0.09996666666666666,0.028833189065650813
0.10663111111111111,0.06546624551447304,0.10663111111111111,0.02651671001502506
0.11329555555555555,0.0393895565213033,0.11329555555555555,0.02141740311997756
0.11996,0.02791433584547165,0.11996,0.01714980796217451
0.12662444444444443,0.021719856100162065,0.12662444444444443,0.014111949280805076
0.13328888888888887,0.017871495762003163,0.13328888888888887,0.011954215297962433
0.13995333333333332,0.01525081340711384,0.13995333333333332,0.010373270440718398
0.14661777777777776,0.013349243133306819,0.14661777777777776,0.009174638708570645
0.1532822222222222,0.011904234574410436,0.1532822222222222,0.008237669612286901
0.15994666666666665,0.010767037886624604,0.15994666666666665,0.007485980312173081
0.1666111111111111,0.009847220329453316,0.1666111111111111,0.006869635674182101
0.17327555555555554,0.009086683809323997,0.17327555555555554,0.006354901186525799
0.17994,0.00844641184058485,0.17994,0.005918284121883092
0.18660444444444443,0.007899231881019299,0.18660444444444443,0.005542973218834085
0.19326888888888888,0.007425636231223559,0.19326888888888888,0.005216645285659462
0.19993333333333332,0.007011254538843716,0.19993333333333332,0.004930072760535952
0.20659777777777777,0.006645264179266988,0.20659777777777777,0.004676214661385895
0.21326222222222221,0.006319356445838629,0.21326222222222221,0.004449607736671351
0.21992666666666666,0.0060270444345194496,0.21992666666666666,0.004245949104927277
0.2265911111111111,0.005763187793134777,0.2265911111111111,0.0040618040837426
0.23325555555555555,0.005523659008986242,0.23325555555555555,0.0038943977278389744
0.23992,0.005305104383065088,0.23992,0.003741463502511659
0.24658444444444444,0.005104769756994421,0.24658444444444444,0.0036011316934267666
0.25324888888888886,0.004920371404023561,0.25324888888888886,0.0034718459304807023
0.25991333333333333,0.004749998986426895,0.25991333333333333,0.0033522999179948763
0.26657777777777775,0.004592041649889621,0.26657777777777775,0.0032413888989965608
0.2732422222222222,0.004445131058807755,0.2732422222222222,0.0031381720071453614
0.27990666666666664,0.004308097003334758,0.27990666666666664,0.0030418427633835112
0.2865711111111111,0.004179932451510728,0.2865711111111111,0.0029517057350369243
0.2932355555555555,0.004059765778452418,0.2932355555555555,0.0028671579069594185
0.2999,0.003946838506736228,0.2999,0.002787673691186661
0.3065644444444444,0.003840487320156524,0.3065644444444444,0.0027127927719457208
0.3132288888888889,0.00374012942117712,0.3132288888888889,0.0026421101791004333
0.3198933333333333,0.0036452505268121283,0.3198933333333333,0.00257526812708373
0.3265577777777778,0.0035553949629070786,0.3265577777777778,0.002511949263071526
0.3332222222222222,0.003470157439692033,0.3332222222222222,0.0024518710479916254
0.33988666666666667,0.0033891761837648703,0.33988666666666667,0.0023947810542360973
0.3465511111111111,0.003312127171582345,0.3465511111111111,0.0023404530098358294
0.35321555555555556,0.003238719262955147,0.35321555555555556,0.0022886834540734153
0.35988,0.0031686900741797397,0.35988,0.0022392888967411734
0.36654444444444445,0.0031018024623540204,0.36654444444444445,0.0021921033944565234
0.37320888888888887,0.003037841517359068,0.37320888888888887,0.0021469764740719415
0.37987333333333334,0.0029766119776014357,0.37987333333333334,0.002103771346334292
0.38653777777777776,0.002917936001133799,0.38653777777777776,0.00206236336336151
0.39320222222222223,0.0028616512361329225,0.39320222222222223,0.0020226386818188767
0.39986666666666665,0.0028076091446123936,0.39986666666666665,0.0019844931003521324
0.4065311111111111,0.0027556735412192163,0.4065311111111111,0.001947831045221888
0.41319555555555554,0.00270571931541264,0.41319555555555554,0.0019125646824534376
0.41986,0.002657631310573222,0.41986,0.0018786131383773945
0.42652444444444443,0.0026113033378750935,0.42652444444444443,0.0018459018133523762
0.43318888888888885,0.0025666373062771964,0.43318888888888885,0.0018143617758588076
0.4398533333333333,0.0025235424528888936,0.4398533333333333,0.0017839292261329872
0.44651777777777774,0.0024819346603696746,0.44651777777777774,0.0017545450201524341
0.4531822222222222,0.0024417358500179653,0.4531822222222222,0.0017261542461499942
0.4598466666666666,0.0024028734408709593,0.4598466666666666,0.001698705846975944
0.4665111111111111,0.0023652798665317414,0.4665111111111111,0.0016721522825844488
0.4731755555555555,0.0023288921426124396,0.4731755555555555,0.0016464492277261738
0.47984,0.0022936514786703927,0.47984,0.0016215553006085042
0.4865044444444444,0.002259502929350069,0.4865044444444444,0.001597431818860534
0.4931688888888889,0.002226395080153338,0.4931688888888889,0.0015740425796288927
0.4998333333333333,0.002194279763863646,0.4998333333333333,0.0015513536610469974
0.5064977777777777,0.0021631118041659154,0.5064977777777777,0.001529333242676246
