time,h_GR,h_Higgs,envelope_GR,envelope_Higgs
0.0,1.0,0.7,1.6478376427239216,1.1589137811781285
0.050016672224074694,0.9979369203049033,0.6968110331122785,1.1968779449737805,0.8370135894086909
0.10003334444814939,0.9948939010907014,0.6929510509592645,1.1845071917035026,0.826629873223725
0.1500500166722241,0.99087702499953,0.6884293569315716,1.073891299677803,0.7465494252474483
0.20006668889629878,0.9858933181988647,0.6832558409042779,1.0622119272629025,0.7368092304828346
0.2500833611203735,0.979950740475983,0.6774409645860445,1.0113851102010394,0.6992939629481398
0.3001000333444482,0.9730581744406711,0.670995746414881,1.0001373570826604,0.6899268174448749
0.35011670556852287,0.9652254138496423,0.6639317460193458,0.9728823374192684,0.6692060087157704
0.40013337779259756,0.956463151066965,0.6562610482642555,0.9619555483695988,0.6601017298983756
0.45015005001667224,0.946782963675606,0.6479962469002393,0.9468768970741535,0.648056999461711
0.500166722240747,0.9361973002559865,0.6391504278367112,0.9362149776682215,0.6391604153770871
0.5501833944648217,0.9247194653482216,0.6297371520580556,0.9283596301702537,0.6322599962913334
0.6002000666888964,0.9123636036154679,0.6197704382030111,0.9179319211858367,0.623540772064393
0.650216738912971,0.8991446832265416,0.6092647448274243,0.9147318569133868,0.619952501897596
0.7002334111370457,0.8850784784766809,0.5982349523706814,0.9045212879197895,0.6113933322493501
0.7502500833611204,0.8701815516660208,0.5866963448462773,0.904485938144657,0.6100534813910662
0.8002667555851951,0.854471234256025,0.5746645912770745,0.8944833419061516,0.6016445657842993
0.8502834278092698,0.8379656073247621,0.5621557268959043,0.8966763214660983,0.6018849342881257
0.9003001000333445,0.820683481342549,0.5491861341322247,0.8868773860461626,0.5936210691518827
0.9503167722574192,0.8026443752900819,0.5357725234055974,0.8906748483723089,0.5949966654559569
1.000333444481494,0.7838684951417606,0.5219319137467713,0.8810783482636948,0.586875580202404
1.0503501167055687,0.7643767117374651,0.5076816132671632,0.8860453209282944,0.5890763789882779
1.1003667889296433,0.7441905380665766,0.4930391994975101,0.8766520271974824,0.5810977221232014
1.150383461153718,0.7233321059885408,0.4780224996164285,0.8824740147370068,0.5838998301966846
1.2004001333777927,0.7018241424147506,0.4626495705895609,0.8732859914211962,0.5760645206082727
1.2504168056018674,0.6796899449769847,0.4469386792399087,0.8797287686933539,0.5793014543008934
1.300433477825942,0.65695335720806,0.43090828226985417,0.8707489012192086,0.5716112496319558
1.3504501500500168,0.6336387432607643,0.41457700625525545,0.8776336866771145,0.5751561898382033
1.4004668222740915,0.6097709621915034,0.39796362763185955,0.8688653559508125,0.5676133899455953
1.4504834944981662,0.5853753418354534,0.38108705269412907,0.8760528466683454,0.5713677653166129
1.5005001667222408,0.5604776523003163,0.36396629762638927,0.8674996980368165,0.5639750030309438
1.5505168389463155,0.535104079106082,0.34662046858602397,0.8748794472508583,0.5678608899496557
1.6005335111703902,0.5092811959984529,0.3290687418582247,0.8665452231955225,0.560620980077892
1.650550183394465,0.4830359374638298,0.3113303441015736,0.8740283640449996,0.5645758942352914
1.7005668556185396,0.4563955709739644,0.29342453270349245,0.8659167808491807,0.5574917224951592
1.7505835278426143,0.42938766898855696,0.27537057626432265,0.8734309154963154,0.5614649587527123
1.800600200066689,0.402040080744239,0.2571877352285268,0.865545570972872,0.5545393987429962
1.8506168722907637,0.3743809038584898,0.23889524268119558,0.8730311011223453,0.55848940203355
1.9006335445148383,0.3464384557771422,0.22051228532774203,0.8653754047441853,0.5517252523064586
1.950650216738913,0.3182412450941849,0.20205798467432592,0.872782845609989,0.5556176922767778
2.000666888962988,0.28981794277261647,0.18355137842621588,0.865359965109384,0.5490176280987428
2.0506835611870624,0.26119735329510485,0.16501140212093543,0.8726479451274234,0.5528239646538703
2.1007002334111373,0.23240838577318895,0.1464568710126664,0.8654607654167561,0.5463905006860372
2.150716905635212,0.20348002504371301,0.12790646222400387,0.8725945134381609,0.5500868986412146
2.2007335778592867,0.17444130278109776,0.10937869718074893,0.8656456049032281,0.5438223598691845
2.250750250083361,0.14532126865395947,0.09089192434502653,0.8725957899513229,0.5473888561899031
2.300766922307436,0.11614896155444146,0.07246430226158182,0.8658873839881791,0.5412953551805796
2.3507835945315105,0.08695338092847521,0.05411378293168496,0.8726292139785607,0.5447152118290361
2.4008002667555854,0.05776345823498484,0.03585809552861839,0.8661631842156474,0.5387946309115502
2.45081693897966,0.02860802856185097,0.017714730468277744,0.8726756975609846,0.5420538259993516
2.500833611203735,-0.00048419757381051984,-0.00029907615206040946,0.8664535456119318,0.5363078033330473
2.5508502834278093,-0.029484662213751654,-0.01816635773421389,0.8727190483195744,0.5393946266466553
2.600866955651884,-0.058364987708083134,-0.03587043196671585,0.8667418932015689,0.533824545400996
2.6508836278759587,-0.08709700419946592,-0.05339491520796691,0.8727455069811823,0.536729273602847
2.7009003001000336,-0.11565277681567568,-0.07072373645381104,0.8670140775441049,0.5313362536639455
2.750916972324108,-0.14400463254457024,-0.08784115087892608,0.8727433735026668,0.5340508869562367
2.800933644548183,-0.17212518676589827,-0.10473175294193987,0.8672580033687424,0.5288357787140333
2.8509503167722574,-0.19998736941479411,-0.12138048904469441,0.8727027023217655,0.531353825370398
2.9009669889963323,-0.22756445075225956,-0.13777266973661123,0.8674633269502006,0.5263172052438463
2.950983661220407,-0.2548300667183864,-0.1538939814556331,0.8726150520337257,0.5286335037475378
3.0010003334444817,-0.2817582438445748,-0.1697304977977568,0.8676212076107952,0.5237756711825945
3.051017005668556,-0.3083234237015001,-0.185268690307702,0.8724732782800121,0.525886242145555
